frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,2,146.861,484.959,42.0552,394.375,0.596296
0,0,2,4,349,365.5,190.287,335.232,0.729589
0,0,3,3,772.5,309.5,669.796,300.114,0.690625
0,0,4,4,719.5,305,609.023,296.502,0.756215
0,0,5,3,279.5,266.5,66.875,263.333,0.803571
0,0,6,4,744.37,251.741,668.199,252.395,0.819231
0,0,7,1,283.357,234.5,51.4517,233.802,1
0,0,8,2,354.856,240.432,150.775,239.908,0.567742
0,0,9,3,349.5,207,126.494,205.279,0.761111
0,0,10,3,432.026,199.026,242.896,196.575,0.630049
0,0,11,4,687.95,180.9,631.636,175.67,0.850341
0,0,12,4,335,153.5,69.315,137.505,0.777679
0,0,13,1,535.5,126,400.056,95.3346,1
0,0,14,4,775.8,430.2,618.463,372.769,0.654798
0,0,15,3,585,108.6,493.924,64.7885,0.9
1,0.04,1,2,146.861,484.959,42.0552,394.375,0.6
1,0.04,2,4,349,365.5,190.287,335.232,0.729589
1,0.04,3,3,772.225,309,669.746,299.744,0.707719
1,0.04,4,4,719.592,304.735,609.251,296.304,0.763433
1,0.04,5,3,280.294,266.913,68.1253,263.693,0.804636
1,0.04,6,4,744.37,251.741,668.199,252.395,0.822189
1,0.04,7,1,283.5,234.5,51.6443,233.803,1
1,0.04,8,2,354.856,240.432,150.775,239.908,0.574194
1,0.04,10,4,432.176,198.796,243.048,196.309,0.656977
1,0.04,11,4,687.95,180.9,631.636,175.67,0.848635
1,0.04,12,4,335,153.5,69.315,137.505,0.775446
1,0.04,13,1,535.5,126,400.056,95.3346,1
1,0.04,14,4,775.8,430.2,618.463,372.769,0.658586
1,0.04,9,3,351,205.8,127.99,203.946,0.785246
1,0.04,15,3,585,108.6,493.924,64.7885,0.9
2,0.08,1,2,146.861,484.959,42.0552,394.375,0.596296
2,0.08,2,4,349,365.5,190.287,335.232,0.728006
2,0.08,3,3,772.225,309,669.746,299.744,0.71614
2,0.08,4,4,719.592,304.735,609.251,296.304,0.766418
2,0.08,5,3,279.391,266.719,66.8689,263.522,0.804516
2,0.08,6,4,744.455,251.909,668.207,252.55,0.814957
2,0.08,7,1,283.5,234.5,51.6443,233.803,1
2,0.08,8,2,354.856,240.432,150.775,239.908,0.580645
2,0.08,10,4,432.176,198.796,243.048,196.309,0.656977
2,0.08,11,4,687.95,180.9,631.636,175.67,0.845222
2,0.08,12,4,335,153.5,69.315,137.505,0.777679
2,0.08,13,1,535.5,126,400.056,95.3346,1
2,0.08,9,3,351,205.8,127.99,203.946,0.785246
2,0.08,15,3,585,108.6,493.924,64.7885,0.9
2,0.08,14,4,774.6,429,617.748,372.171,0.682716
3,0.12,1,2,146.861,484.959,42.0552,394.375,0.596296
3,0.12,2,4,349,365.5,190.287,335.232,0.728006
3,0.12,3,3,772.225,309,669.746,299.744,0.718947
3,0.12,4,4,719.592,304.735,609.251,296.304,0.763433
3,0.12,5,3,279.391,266.719,66.8689,263.522,0.806237
3,0.12,6,4,744.455,251.909,668.207,252.55,0.814957
3,0.12,7,1,283.5,234.5,51.6443,233.803,1
3,0.12,8,2,354.856,240.432,150.775,239.908,0.580645
3,0.12,10,4,432.176,198.796,243.048,196.309,0.652326
3,0.12,11,4,687.95,180.9,631.636,175.67,0.845222
3,0.12,12,4,335,153.5,69.315,137.505,0.777679
3,0.12,13,1,535.5,126,400.056,95.3346,1
3,0.12,9,3,351,205.8,127.99,203.946,0.785246
3,0.12,15,3,585,108.6,493.924,64.7885,0.9
3,0.12,14,4,773.4,427.8,617.032,371.571,0.705642
4,0.16,1,2,147.669,485.246,42.8959,394.5,0.615385
4,0.16,2,4,349,365.5,190.287,335.232,0.728006
4,0.16,3,3,772.225,309,669.746,299.744,0.718947
4,0.16,4,4,719.592,304.735,609.251,296.304,0.763433
4,0.16,5,3,279.391,266.719,66.8689,263.522,0.807097
4,0.16,6,4,744.37,251.741,668.199,252.395,0.825148
4,0.16,7,1,283.5,234.5,51.6443,233.803,1
4,0.16,8,2,354.856,240.432,150.775,239.908,0.580645
4,0.16,10,3,432.125,199,243.033,196.545,0.618386
4,0.16,11,4,687.95,180.9,631.636,175.67,0.845222
4,0.16,12,4,335,153.5,69.315,137.505,0.777679
4,0.16,13,1,535.5,126,400.056,95.3346,1
4,0.16,9,3,351,205.8,127.99,203.946,0.785246
4,0.16,15,3,585,108.6,493.924,64.7885,0.9
4,0.16,14,4,773.4,427.8,617.032,371.571,0.705642
5,0.2,1,2,147.622,485.243,42.8527,394.499,0.601533
5,0.2,2,4,349,365.5,190.287,335.232,0.728006
5,0.2,3,3,772.225,309,669.746,299.744,0.71614
5,0.2,4,4,719.841,304.693,609.566,296.274,0.762963
5,0.2,5,3,279.391,266.719,66.8689,263.522,0.806237
5,0.2,6,4,744.455,251.909,668.207,252.55,0.817806
5,0.2,7,1,283.5,234.5,51.6443,233.803,1
5,0.2,8,2,354.856,240.432,150.775,239.908,0.587097
5,0.2,10,3,432.125,199,243.033,196.545,0.609417
5,0.2,11,4,687.95,180.9,631.636,175.67,0.846928
5,0.2,12,4,335,153.5,69.315,137.505,0.777679
5,0.2,13,1,535.5,126,400.056,95.3346,1
5,0.2,9,3,351,205.8,127.99,203.946,0.788525
5,0.2,14,4,773.4,427.8,617.032,371.571,0.705642
5,0.2,15,3,585,108.6,493.924,64.7885,0.9
6,0.24,1,2,147.622,485.243,42.8527,394.499,0.597701
