frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,675.5,455.5,587.795,381.19,0.813954
0,0,2,4,453.114,404.892,342.704,334.968,0.713265
0,0,3,3,543.017,371.741,437.453,296.049,0.874522
0,0,4,3,328.786,333.321,202.497,262.701,0.874194
0,0,5,1,275.889,324.667,144.573,255.363,0.952055
0,0,6,4,657.912,291.912,555.298,206.249,0.769595
0,0,7,4,541.5,261.5,426.996,177.969,0.8875
0,0,8,3,725.5,257.5,625.508,166.957,0.891892
0,0,9,4,425.5,229.1,299.076,147.568,0.663208
0,0,10,3,315.1,213.9,178.61,135.359,0.873333
0,0,11,4,843.5,195,747.67,95.8913,0.872464
0,0,12,4,477.125,193.5,352.062,107.655,0.66875
0,0,13,4,279.5,195.5,138.755,117.005,0.712162
0,0,14,2,476.342,160.342,348.614,72.3063,0.767241
0,0,15,4,442.722,132.278,310.142,43.6157,0.675984
1,0.0333667,1,3,675.5,455.5,587.795,381.19,0.82093
1,0.0333667,2,4,453.114,404.892,342.704,334.968,0.720068
1,0.0333667,3,3,543.088,371.912,437.544,296.229,0.889189
1,0.0333667,4,3,328.786,333.321,202.497,262.701,0.869032
1,0.0333667,5,1,275.983,324.948,144.696,255.662,0.972414
1,0.0333667,6,4,657.912,291.912,555.298,206.249,0.776351
1,0.0333667,7,4,541.5,261.5,426.996,177.969,0.8875
1,0.0333667,8,3,725.5,257.5,625.508,166.957,0.891892
1,0.0333667,9,4,425.5,229.1,299.076,147.568,0.667925
1,0.0333667,10,3,315.1,213.9,178.61,135.359,0.873333
1,0.0333667,11,4,843.5,195,747.67,95.8913,0.87971
1,0.0333667,12,4,477.125,193.5,352.062,107.655,0.675
1,0.0333667,13,4,279.5,195.5,138.755,117.005,0.712162
1,0.0333667,14,2,476.201,160.661,348.487,72.6514,0.725806
1,0.0333667,15,4,443,132,310.42,43.3096,0.695985
2,0.0667334,1,3,675.5,455.5,587.795,381.19,0.823256
2,0.0667334,2,4,453.114,404.892,342.704,334.968,0.716667
2,0.0667334,3,3,543.088,371.912,437.544,296.229,0.889189
2,0.0667334,4,3,328.786,333.321,202.497,262.701,0.863871
2,0.0667334,5,1,275.983,324.948,144.696,255.662,0.972414
2,0.0667334,6,4,657.912,291.912,555.298,206.249,0.776351
2,0.0667334,7,4,541.5,261.5,426.996,177.969,0.8875
2,0.0667334,8,3,725.5,257.5,625.508,166.957,0.891892
2,0.0667334,9,4,425.5,229.1,299.076,147.568,0.667925
2,0.0667334,10,3,314.5,213.75,177.95,135.221,0.867568
2,0.0667334,11,4,843.5,195,747.67,95.8913,0.87971
2,0.0667334,12,4,477.125,193.5,352.062,107.655,0.675
2,0.0667334,13,4,279.5,195.5,138.755,117.005,0.712162
2,0.0667334,14,2,476.201,160.661,348.487,72.6514,0.725806
2,0.0667334,15,4,443,132,310.42,43.3096,0.695985
3,0.1001,1,4,675.5,455.5,587.795,381.19,0.651744
3,0.1001,2,4,453.114,404.892,342.704,334.968,0.720068
3,0.1001,3,3,543.088,371.912,437.544,296.229,0.889189
3,0.1001,4,3,328.742,333.387,202.455,262.773,0.866667
3,0.1001,5,1,275.983,324.948,144.696,255.662,0.972414
3,0.1001,6,4,657.912,291.912,555.298,206.249,0.766216
3,0.1001,7,4,541.5,261.5,426.996,177.969,0.9
3,0.1001,8,3,725.5,257.5,625.508,166.957,0.894595
3,0.1001,9,4,424.811,229.199,298.339,147.699,0.67234
3,0.1001,10,3,315.1,213.9,178.61,135.359,0.873333
3,0.1001,11,1,842.736,194.429,746.797,95.31,0.700855
3,0.1001,12,4,477.125,193.5,352.062,107.655,0.66875
3,0.1001,13,4,279.328,195.92,138.601,117.46,0.710839
3,0.1001,14,2,476.259,160.63,348.547,72.6159,0.737705
3,0.1001,15,4,442.722,132.278,310.142,43.6157,0.679921
4,0.133467,1,4,675.5,455.5,587.795,381.19,0.654651
4,0.133467,2,4,453.114,404.892,342.704,334.968,0.720068
4,0.133467,3,3,543.088,371.912,437.544,296.229,0.889189
4,0.133467,4,3,328.742,333.387,202.455,262.773,0.866667
4,0.133467,5,1,275.983,324.948,144.696,255.662,0.972414
4,0.133467,6,4,657.912,291.912,555.298,206.249,0.766216
4,0.133467,7,4,541.5,261.5,426.996,177.969,0.9
4,0.133467,8,3,725.5,257.5,625.508,166.957,0.894595
4,0.133467,9,4,424.811,229.199,298.339,147.699,0.67766
4,0.133467,10,3,315.1,213.9,178.61,135.359,0.873333
4,0.133467,11,4,842.736,194.429,746.797,95.31,0.896154
4,0.133467,12,4,477.125,193.5,352.062,107.655,0.66875
4,0.133467,13,4,279.328,195.92,138.601,117.46,0.710839
4,0.133467,14,2,476.259,160.63,348.547,72.6159,0.737705
4,0.133467,15,4,442.722,132.278,310.142,43.6157,0.679921
5,0.166834,1,4,675.5,455.5,587.795,381.19,0.651744
5,0.166834,2,4,453.114,404.892,342.704,334.968,0.720068
5,0.166834,3,3,543.088,371.912,437.544,296.229,0.889189
5,0.166834,4,3,328.742,333.387,202.455,262.773,0.866667
5,0.166834,5,1,275.983,324.948,144.696,255.662,0.972414
5,0.166834,6,4,657.912,291.912,555.298,206.249,0.766216
5,0.166834,7,4,541.5,261.5,426.996,177.969,0.9
5,0.166834,8,3,725.5,257.5,625.508,166.957,0.894595
5,0.166834,9,4,424.811,229.199,298.339,147.699,0.67766
5,0.166834,10,3,315.1,213.9,178.61,135.359,0.873333
5,0.166834,11,4,842.736,194.429,746.797,95.31,0.896154
5,0.166834,12,4,477.125,193.5,352.062,107.655,0.66875
5,0.166834,13,4,279.328,195.92,138.601,117.46,0.710839
5,0.166834,14,2,476.259,160.63,348.547,72.6159,0.737705
5,0.166834,15,4,442.722,132.278,310.142,43.6157,0.679921
6,0.2002,1,4,675.5,455.5,587.795,381.19,0.651744
6,0.2002,2,4,453.114,404.892,342.704,334.968,0.720068
6,0.2002,3,3,543.088,371.912,437.544,296.229,0.889189
6,0.2002,4,3,328.742,333.387,202.455,262.773,0.866667
6,0.2002,5,1,275.983,324.948,144.696,255.662,0.972414
6,0.2002,6,4,657.912,291.912,555.298,206.249,0.766216
6,0.2002,7,4,541.5,261.5,426.996,177.969,0.9
6,0.2002,8,3,725.5,257.5,625.508,166.957,0.894595
6,0.2002,9,4,424.811,229.199,298.339,147.699,0.67766
6,0.2002,10,3,315.1,213.9,178.61,135.359,0.873333
6,0.2002,11,4,842.736,194.429,746.797,95.31,0.896154
6,0.2002,12,4,477.125,193.5,352.062,107.655,0.66875
6,0.2002,13,4,279.328,195.92,138.601,117.46,0.710839
6,0.2002,14,2,476.259,160.63,348.547,72.6159,0.737705
6,0.2002,15,4,442.722,132.278,310.142,43.6157,0.679921
7,0.233567,1,4,675.5,455.5,587.795,381.19,0.651744
7,0.233567,2,4,453.114,404.892,342.704,334.968,0.720068
7,0.233567,3,3,543.088,371.912,437.544,296.229,0.889189
7,0.233567,4,3,328.742,333.387,202.455,262.773,0.866667
7,0.233567,5,1,275.983,324.948,144.696,255.662,0.972414
7,0.233567,6,4,657.912,291.912,555.298,206.249,0.766216
7,0.233567,7,4,541.5,261.5,426.996,177.969,0.9
7,0.233567,8,3,725.5,257.5,625.508,166.957,0.894595
7,0.233567,9,4,424.811,229.199,298.339,147.699,0.67766
7,0.233567,10,3,315.1,213.9,178.61,135.359,0.873333
7,0.233567,11,4,842.736,194.429,746.797,95.31,0.896154
7,0.233567,12,4,477.125,193.5,352.062,107.655,0.66875
7,0.233567,13,4,279.328,195.92,138.601,117.46,0.710839
7,0.233567,14,2,476.259,160.63,348.547,72.6159,0.737705
7,0.233567,15,4,442.722,132.278,310.142,43.6157,0.679921
8,0.266934,1,4,675.5,455.5,587.795,381.19,0.651744
8,0.266934,2,4,453.114,404.892,342.704,334.968,0.720068
8,0.266934,3,3,543.088,371.912,437.544,296.229,0.889189
8,0.266934,4,3,328.742,333.387,202.455,262.773,0.866667
8,0.266934,5,1,275.983,324.948,144.696,255.662,0.972414
8,0.266934,6,4,657.912,291.912,555.298,206.249,0.766216
8,0.266934,7,4,541.5,261.5,426.996,177.969,0.9
8,0.266934,8,3,725.5,257.5,625.508,166.957,0.894595
8,0.266934,9,4,424.811,229.199,298.339,147.699,0.67766
