frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,658.036,440.946,37.545,396.064,0.692857
0,0,2,4,750.255,287.509,333.564,373.368,0.719753
0,0,3,3,704.891,274.109,346.262,330.84,0.775768
0,0,4,2,613,259.5,344.864,249.76,0.801653
0,0,5,4,456.5,249,309.339,117.899,0.658766
0,0,6,3,396.919,230.081,329.636,48.8408,0.774403
0,0,7,1,579.597,167.694,570.9,130.447,0.986667
0,0,8,4,417,330.6,133.306,166.933,0.708854
0,0,9,3,387,330.6,123.025,145.941,0.71875
0,0,10,3,534.6,353.4,133.646,265.765,0.9
1,0.0402269,1,3,658.036,440.946,37.545,396.064,0.75
1,0.0402269,2,4,750.255,287.509,333.564,373.368,0.71821
1,0.0402269,3,3,704.881,274.28,345.881,330.952,0.774667
1,0.0402269,4,2,613,259.5,344.864,249.76,0.805785
1,0.0402269,5,4,456.5,249,309.339,117.899,0.66039
1,0.0402269,6,3,396.625,230.375,328.83,48.9546,0.785161
1,0.0402269,7,1,579.523,167.942,570.119,130.675,0.986667
1,0.0402269,8,4,417,330.6,133.306,166.933,0.70625
2,0.0804538,1,3,658.036,440.946,37.545,396.064,0.742857
2,0.0804538,2,4,750.255,287.509,333.564,373.368,0.716667
2,0.0804538,3,3,704.881,274.28,345.881,330.952,0.774667
2,0.0804538,4,2,613,259.5,344.864,249.76,0.805785
2,0.0804538,5,4,456.5,249,309.339,117.899,0.66039
2,0.0804538,6,3,396.625,230.375,328.83,48.9546,0.786452
2,0.0804538,7,1,579.523,167.942,570.119,130.675,0.986667
2,0.0804538,11,3,716,129,758.475,212.502,0.9
2,0.0804538,8,4,417,330.6,133.306,166.933,0.708854
3,0.120681,1,3,658.036,440.946,37.545,396.064,0.742857
3,0.120681,2,4,750.255,287.509,333.564,373.368,0.716667
3,0.120681,3,3,704.881,274.28,345.881,330.952,0.774667
3,0.120681,4,2,613,259.5,344.864,249.76,0.805785
3,0.120681,5,4,456.5,249,309.339,117.899,0.66039
3,0.120681,6,3,396.625,230.375,328.83,48.9546,0.786452
3,0.120681,7,1,579.523,167.942,570.119,130.675,0.986667
3,0.120681,8,4,417,330.6,133.306,166.933,0.708854
4,0.160908,1,3,658.036,440.946,37.545,396.064,0.742857
4,0.160908,2,4,750.255,287.509,333.564,373.368,0.716667
4,0.160908,3,3,704.977,274.275,345.927,331.02,0.777441
4,0.160908,4,2,613,259.5,344.864,249.76,0.805785
4,0.160908,5,4,456.5,249,309.339,117.899,0.66039
4,0.160908,6,3,396.625,230.375,328.83,48.9546,0.786452
4,0.160908,7,1,579.523,167.942,570.119,130.675,0.986667
4,0.160908,8,4,417,330.6,133.306,166.933,0.708854
5,0.201134,1,3,658.036,440.946,37.545,396.064,0.742857
5,0.201134,2,4,750.255,287.509,333.564,373.368,0.716667
5,0.201134,3,3,704.977,274.275,345.927,331.02,0.777441
5,0.201134,4,2,613,259.5,344.864,249.76,0.805785
5,0.201134,5,4,456.5,249,309.339,117.899,0.66039
5,0.201134,6,3,396.625,230.375,328.83,48.9546,0.786452
5,0.201134,7,1,579.523,167.942,570.119,130.675,0.986667
5,0.201134,8,4,417,330.6,133.306,166.933,0.708854
6,0.241361,1,3,658.036,440.946,37.545,396.064,0.742857
6,0.241361,2,4,750.255,287.509,333.564,373.368,0.716667
6,0.241361,3,3,704.977,274.275,345.927,331.02,0.777441
6,0.241361,4,2,613,259.5,344.864,249.76,0.805785
6,0.241361,5,4,456.5,249,309.339,117.899,0.66039
6,0.241361,6,3,396.625,230.375,328.83,48.9546,0.786452
6,0.241361,7,1,579.523,167.942,570.119,130.675,0.986667
6,0.241361,8,4,417,330.6,133.306,166.933,0.708854
7,0.281588,1,3,658.036,440.946,37.545,396.064,0.742857
7,0.281588,2,4,750.255,287.509,333.564,373.368,0.716667
7,0.281588,3,3,704.977,274.275,345.927,331.02,0.777441
7,0.281588,4,2,613,259.5,344.864,249.76,0.805785
7,0.281588,5,4,456.5,249,309.339,117.899,0.66039
7,0.281588,6,3,396.625,230.375,328.83,48.9546,0.786452
7,0.281588,7,1,577.8,169.8,563.796,131.324,0.830769
7,0.281588,8,4,417,330.6,133.306,166.933,0.708854
8,0.321815,1,3,658.036,440.946,37.545,396.064,0.742857
8,0.321815,2,4,750.255,287.509,333.564,373.368,0.716667
8,0.321815,3,3,704.977,274.275,345.927,331.02,0.777441
8,0.321815,4,2,613,259.5,344.864,249.76,0.805785
8,0.321815,5,4,456.5,249,309.339,117.899,0.66039
8,0.321815,6,3,396.625,230.375,328.83,48.9546,0.786452
8,0.321815,7,1,563.5,171.5,552.613,120.557,0.893519
8,0.321815,8,4,417,330.6,133.306,166.933,0.708854
9,0.362042,1,3,658.036,440.946,37.545,396.064,0.742857
9,0.362042,2,4,750.255,287.509,333.564,373.368,0.716667
9,0.362042,3,3,704.977,274.275,345.927,331.02,0.777441
9,0.362042,4,2,613,259.5,344.864,249.76,0.805785
9,0.362042,5,4,456.5,249,309.339,117.899,0.66039
9,0.362042,6,3,396.625,230.375,328.83,48.9546,0.786452
