frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,658.1,441,37.5383,396.119,0.689091
0,0,2,3,355.5,371,46.9138,158.391,0.5
0,0,3,4,354,362,60.598,149.706,0.835714
0,0,4,3,289.894,338.255,77.8741,83.6349,0.685532
0,0,5,2,455,291.5,220.756,157.91,0.707143
0,0,6,4,705.763,256.237,387.965,318.516,0.832918
0,0,7,3,548.583,231.354,387.843,172.349,0.838224
0,0,8,4,511.5,188.5,484.543,93.8536,0.665234
0,0,9,3,852,166.5,691.413,372.7,0.766187
0,0,10,4,550,130,682.581,52.7,0.705172
1,0.040334,2,3,355.5,371.5,46.1358,158.812,0.5
1,0.040334,4,3,290.24,338.175,78.1254,83.7991,0.67193
1,0.040334,5,2,455,291.5,220.756,157.91,0.717857
1,0.040334,6,4,706,256,388.605,318.525,0.829863
1,0.040334,7,3,548.9,231.9,386.637,173.152,0.836759
1,0.040334,8,4,512,188.5,484.749,94.2913,0.663636
1,0.040334,9,3,852,166.5,691.413,372.7,0.769065
1,0.040334,11,3,842,143.5,764.245,345.336,0.9
1,0.040334,10,4,550,130,682.581,52.7,0.701724
1,0.040334,12,3,462.6,335.4,141.407,201.919,0.894444
2,0.0806679,1,3,658.036,440.946,37.5945,396.054,0.7
2,0.0806679,2,3,355.5,371.5,46.1358,158.812,0.5
2,0.0806679,4,3,290.24,338.175,78.1254,83.7991,0.67193
2,0.0806679,5,2,455,291.5,220.756,157.91,0.717857
2,0.0806679,6,4,706,256,388.605,318.525,0.829863
2,0.0806679,7,3,548.9,231.9,386.637,173.152,0.836759
2,0.0806679,8,4,512,188.5,484.749,94.2913,0.663636
2,0.0806679,9,3,852,166.5,691.413,372.7,0.769065
2,0.0806679,11,3,842,143.5,764.245,345.336,0.9
2,0.0806679,10,4,550,130,682.581,52.7,0.701724
3,0.121002,2,3,355.5,371.5,46.1358,158.812,0.5
3,0.121002,4,3,290.24,338.175,78.1254,83.7991,0.67193
3,0.121002,5,2,455,291.5,220.756,157.91,0.717857
3,0.121002,6,4,706,256,388.605,318.525,0.829863
3,0.121002,7,3,548.9,231.9,386.637,173.152,0.836759
3,0.121002,8,4,512,188.5,484.749,94.2913,0.663636
3,0.121002,9,3,852,166.5,691.413,372.7,0.769065
3,0.121002,11,3,842,143.5,764.245,345.336,0.9
3,0.121002,10,4,550,130,682.581,52.7,0.701724
4,0.161336,2,3,355.5,371.5,46.1358,158.812,0.5
4,0.161336,4,3,290.24,338.175,78.1254,83.7991,0.673684
4,0.161336,5,2,455,291.5,220.756,157.91,0.717857
4,0.161336,6,4,706,256,388.605,318.525,0.829863
4,0.161336,7,3,548.9,231.9,386.637,173.152,0.836759
4,0.161336,8,4,512,188.5,484.749,94.2913,0.663636
4,0.161336,9,3,852,166.5,691.413,372.7,0.769065
4,0.161336,11,3,842,143.5,764.245,345.336,0.9
4,0.161336,10,4,550,130,682.581,52.7,0.701724
5,0.20167,2,3,355.5,371.5,46.1358,158.812,0.5
5,0.20167,4,3,290.24,338.175,78.1254,83.7991,0.673684
5,0.20167,5,2,455,291.5,220.756,157.91,0.717857
5,0.20167,6,4,706,256,388.605,318.525,0.829863
5,0.20167,7,3,548.9,231.9,386.637,173.152,0.836759
5,0.20167,8,4,512,188.5,484.749,94.2913,0.663636
5,0.20167,9,3,852,166.5,691.413,372.7,0.769065
5,0.20167,11,3,842,143.5,764.245,345.336,0.9
5,0.20167,10,4,550,130,682.581,52.7,0.694828
6,0.242004,2,3,355.5,371.5,46.1358,158.812,0.5
6,0.242004,4,3,290.24,338.175,78.1254,83.7991,0.673684
6,0.242004,5,2,455,291.5,220.756,157.91,0.717857
6,0.242004,6,4,706,256,388.605,318.525,0.829863
6,0.242004,7,3,548.9,231.9,386.637,173.152,0.836759
6,0.242004,8,4,512,188.5,484.749,94.2913,0.663636
6,0.242004,9,3,852,166.5,691.413,372.7,0.769065
6,0.242004,11,3,842,143.5,764.245,345.336,0.9
6,0.242004,10,4,550,130,682.581,52.7,0.694828
7,0.282338,2,3,355.5,371.5,46.1358,158.812,0.5
7,0.282338,4,3,290.24,338.175,78.1254,83.7991,0.673684
