frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,837.167,440.056,771.082,392.788,0.864706
0,0,2,3,215.5,437,32.8798,392.709,0.886301
0,0,3,4,689.172,430.858,595.711,385.813,0.719255
0,0,4,3,578.5,359.833,466.456,323.784,0.825455
0,0,5,3,271.815,331.371,68.2644,298.21,0.749107
0,0,6,4,525,322.5,397.844,287.87,0.660976
0,0,7,3,409.5,263.5,236.023,225.969,0.829787
0,0,8,3,782.728,246.032,765.527,202.875,0.877401
0,0,9,3,269.821,244.196,34.8276,204.983,0.853299
0,0,10,2,707,234.714,659.763,190.055,0.773649
0,0,11,3,661.5,234.833,593.811,190.593,0.852174
0,0,12,3,369,221.848,169.589,177.432,0.794428
0,0,13,4,743.5,219.5,717.647,171.124,0.67
0,0,14,3,610,212.786,521.927,163.975,0.762816
0,0,15,3,626.073,166.514,552.79,102.625,0.741221
0,0,16,4,647.5,153.763,588.737,84.3718,0.764015
0,0,17,1,483,149.4,329.155,80.045,0.847561
0,0,18,3,472.2,174.6,314.855,115.441,0.817576
1,0.0333667,1,3,836.409,441.182,769.824,393.71,0.86763
1,0.0333667,2,3,215,438,32.6147,393.521,0.88125
1,0.0333667,3,4,689.116,430.612,595.683,385.61,0.723846
1,0.0333667,4,3,578.5,359.833,466.456,323.784,0.830909
1,0.0333667,5,4,272,331.16,68.4369,298.001,0.651399
1,0.0333667,6,4,525,322.5,397.844,287.87,0.669512
1,0.0333667,7,3,409.5,263.5,236.023,225.969,0.842169
1,0.0333667,8,3,782.728,246.032,765.527,202.875,0.875141
1,0.0333667,9,3,269.629,243.274,34.1997,203.909,0.83
1,0.0333667,10,2,707,234.714,659.763,190.055,0.800676
1,0.0333667,11,3,661.5,234.929,593.793,190.707,0.848905
1,0.0333667,13,4,743.935,220.196,718.06,171.984,0.665108
1,0.0333667,12,4,369,221.848,169.589,177.432,0.654106
1,0.0333667,14,3,609.402,212.615,521.063,163.766,0.762687
1,0.0333667,15,3,625.653,166.686,552.107,102.87,0.750746
1,0.0333667,16,4,647.5,153.5,588.791,83.9946,0.772656
1,0.0333667,19,4,570.6,264.6,460.878,225.963,0.66036
1,0.0333667,18,3,473.4,173.4,316.57,113.794,0.836111
1,0.0333667,20,3,449.4,117,271.034,32.0286,0.750485
1,0.0333667,21,3,576.6,274.2,468.698,236.632,0.826644
1,0.0333667,17,1,481.8,147,327.034,76.593,0.909091
2,0.0667334,1,3,836.409,441.182,769.824,393.71,0.86763
2,0.0667334,2,3,215,438,32.6147,393.521,0.88125
2,0.0667334,3,4,689.137,430.627,595.706,385.622,0.725385
2,0.0667334,4,3,578.5,359.833,466.456,323.784,0.83
2,0.0667334,5,4,272,331.16,68.4369,298.001,0.650233
2,0.0667334,6,4,525,322.5,397.844,287.87,0.669512
2,0.0667334,7,3,409.5,263.5,236.023,225.969,0.842169
2,0.0667334,8,3,782.728,246.032,765.527,202.875,0.875141
2,0.0667334,9,3,269.629,243.274,34.1997,203.909,0.83
2,0.0667334,10,2,707,234.714,659.763,190.055,0.790541
2,0.0667334,11,3,661.5,234.929,593.793,190.707,0.848905
2,0.0667334,13,4,743.935,220.196,718.06,171.984,0.665108
2,0.0667334,12,4,369,221.848,169.589,177.432,0.652639
2,0.0667334,14,3,609.402,212.615,521.063,163.766,0.762687
2,0.0667334,15,3,625.653,166.686,552.107,102.87,0.750746
2,0.0667334,16,4,647.5,153.5,588.791,83.9946,0.772656
2,0.0667334,17,1,483,149.4,329.155,80.045,0.865854
2,0.0667334,21,3,576.6,274.2,468.698,236.632,0.826644
2,0.0667334,20,3,449.4,117,271.034,32.0286,0.752427
2,0.0667334,18,3,473.4,173.4,316.57,113.794,0.822523
3,0.1001,1,3,836.409,441.182,769.824,393.71,0.86763
3,0.1001,2,3,215,438,32.6147,393.521,0.88125
3,0.1001,3,4,689.137,430.627,595.706,385.622,0.725385
3,0.1001,4,3,578.5,359.833,466.456,323.784,0.83
3,0.1001,5,4,272,331.16,68.4369,298.001,0.650233
3,0.1001,6,4,525,322.5,397.844,287.87,0.669512
3,0.1001,7,3,409.5,263.5,236.023,225.969,0.842169
3,0.1001,8,3,782.728,246.032,765.527,202.875,0.875141
3,0.1001,9,3,269.629,243.274,34.1997,203.909,0.83
3,0.1001,10,2,707,234.714,659.763,190.055,0.790541
3,0.1001,11,3,661.5,234.929,593.793,190.707,0.848905
3,0.1001,13,4,743.935,220.196,718.06,171.984,0.665108
3,0.1001,12,4,369,221.848,169.589,177.432,0.652639
3,0.1001,14,3,609.402,212.615,521.063,163.766,0.762687
3,0.1001,15,3,625.653,166.686,552.107,102.87,0.750746
3,0.1001,16,4,647.5,153.5,588.791,83.9946,0.772656
3,0.1001,17,1,483,149.4,329.155,80.045,0.841463
3,0.1001,19,4,570.6,264.6,460.878,225.963,0.66036
3,0.1001,20,3,449.4,117,271.034,32.0286,0.748544
3,0.1001,18,3,473.4,173.4,316.57,113.794,0.834722
3,0.1001,21,3,576.6,274.2,468.698,236.632,0.826644
4,0.133467,1,3,836.667,440.667,770.292,393.289,0.856322
4,0.133467,2,3,215,438,32.6147,393.521,0.88125
4,0.133467,3,4,689.137,430.627,595.706,385.622,0.725385
4,0.133467,4,3,578.5,359.833,466.456,323.784,0.83
4,0.133467,5,4,272,331.16,68.4369,298.001,0.650233
4,0.133467,6,4,525,322.5,397.844,287.87,0.667073
4,0.133467,7,3,409.5,263.5,236.023,225.969,0.842169
4,0.133467,8,3,782.728,246.032,765.527,202.875,0.877401
4,0.133467,9,3,269.629,243.274,34.1997,203.909,0.83
4,0.133467,10,2,707,234.714,659.763,190.055,0.790541
4,0.133467,11,3,661.5,234.976,593.784,190.764,0.852941
4,0.133467,13,4,743.935,220.196,718.06,171.984,0.665108
4,0.133467,12,4,369,221.848,169.589,177.432,0.652639
4,0.133467,14,3,609.402,212.615,521.063,163.766,0.762687
4,0.133467,15,3,625.653,166.686,552.107,102.87,0.750746
4,0.133467,16,4,647.5,153.5,588.791,83.9946,0.772656
4,0.133467,17,1,483,149.4,329.155,80.045,0.847561
4,0.133467,19,4,570.6,264.6,460.878,225.963,0.66036
4,0.133467,20,3,449.4,117,271.034,32.0286,0.748544
4,0.133467,21,3,576.6,274.2,468.698,236.632,0.826644
4,0.133467,18,3,473.4,173.4,316.57,113.794,0.820721
5,0.166834,1,3,836.667,440.667,770.292,393.289,0.856322
5,0.166834,2,3,215,438,32.6147,393.521,0.88125
5,0.166834,3,4,689.137,430.627,595.706,385.622,0.725385
5,0.166834,4,3,578.5,359.833,466.456,323.784,0.830909
5,0.166834,5,4,272,331.16,68.4369,298.001,0.650233
5,0.166834,6,4,525,322.5,397.844,287.87,0.667073
5,0.166834,7,3,409.5,263.5,236.023,225.969,0.842169
5,0.166834,8,3,782.728,246.032,765.527,202.875,0.877401
5,0.166834,9,3,269.629,243.274,34.1997,203.909,0.83
5,0.166834,10,2,707,234.714,659.763,190.055,0.793919
5,0.166834,11,3,661.5,234.976,593.784,190.764,0.852941
5,0.166834,13,4,743.935,220.196,718.06,171.984,0.665108
5,0.166834,12,4,369,221.848,169.589,177.432,0.652639
5,0.166834,14,3,609.402,212.615,521.063,163.766,0.762687
5,0.166834,15,3,625.653,166.686,552.107,102.87,0.750746
5,0.166834,16,4,647.5,153.5,588.791,83.9946,0.772656
5,0.166834,19,4,570.6,264.6,460.878,225.963,0.66036
5,0.166834,21,3,576.6,274.2,468.698,236.632,0.826644
5,0.166834,20,3,449.4,117,271.034,32.0286,0.754369
5,0.166834,18,3,473.4,173.4,316.57,113.794,0.822523
6,0.2002,1,3,836.667,440.667,770.292,393.289,0.856322
6,0.2002,2,3,215,438,32.6147,393.521,0.88125
6,0.2002,3,4,689.137,430.627,595.706,385.622,0.725385
6,0.2002,4,3,578.5,359.833,466.456,323.784,0.830909
6,0.2002,5,4,272,331.16,68.4369,298.001,0.650233
6,0.2002,6,4,525,322.5,397.844,287.87,0.667073
6,0.2002,7,3,409.5,263.5,236.023,225.969,0.842169
6,0.2002,8,3,782.728,246.032,765.527,202.875,0.877401
6,0.2002,9,3,269.629,243.274,34.1997,203.909,0.83
6,0.2002,10,2,707,234.714,659.763,190.055,0.793919
6,0.2002,11,3,661.5,234.976,593.784,190.764,0.852941
6,0.2002,13,4,743.935,220.196,718.06,171.984,0.665108
6,0.2002,12,4,369,221.848,169.589,177.432,0.652639
6,0.2002,14,3,609.402,212.615,521.063,163.766,0.762687
6,0.2002,15,3,625.653,166.686,552.107,102.87,0.750746
6,0.2002,16,4,647.5,153.5,588.791,83.9946,0.772656
6,0.2002,19,4,570.6,264.6,460.878,225.963,0.66036
6,0.2002,21,3,576.6,274.2,468.698,236.632,0.826644
6,0.2002,20,3,449.4,117,271.034,32.0286,0.754369
6,0.2002,18,3,473.4,173.4,316.57,113.794,0.822523
7,0.233567,1,3,836.667,440.667,770.292,393.289,0.856322
7,0.233567,2,3,215,438,32.6147,393.521,0.88125
7,0.233567,3,4,689.137,430.627,595.706,385.622,0.725385
7,0.233567,4,3,578.5,359.833,466.456,323.784,0.830909
7,0.233567,5,4,272,331.16,68.4369,298.001,0.650233
7,0.233567,6,4,525,322.5,397.844,287.87,0.667073
7,0.233567,7,3,409.5,263.5,236.023,225.969,0.842169
7,0.233567,8,3,782.728,246.032,765.527,202.875,0.877401
7,0.233567,9,3,269.629,243.274,34.1997,203.909,0.83
7,0.233567,10,2,707,234.714,659.763,190.055,0.793919
7,0.233567,11,3,661.5,234.976,593.784,190.764,0.852941
7,0.233567,13,4,743.935,220.196,718.06,171.984,0.665108
7,0.233567,12,4,369,221.848,169.589,177.432,0.652639
7,0.233567,14,3,609.402,212.615,521.063,163.766,0.762687
7,0.233567,15,3,625.653,166.686,552.107,102.87,0.750746
7,0.233567,16,4,647.5,153.5,588.791,83.9946,0.772656
7,0.233567,20,3,450.6,115.8,272.802,30.1477,0.77
7,0.233567,19,4,570.6,264.6,460.878,225.963,0.66036
7,0.233567,18,3,473.4,173.4,316.57,113.794,0.820721
8,0.266934,1,3,836.667,440.667,770.292,393.289,0.856322
8,0.266934,2,3,215,438,32.6147,393.521,0.88125
8,0.266934,3,4,689.137,430.627,595.706,385.622,0.725385
8,0.266934,4,3,578.5,359.833,466.456,323.784,0.830909
8,0.266934,5,4,272,331.16,68.4369,298.001,0.650233
8,0.266934,6,4,525,322.5,397.844,287.87,0.667073
8,0.266934,7,3,409.5,263.5,236.023,225.969,0.842169
8,0.266934,8,3,782.728,246.032,765.527,202.875,0.877401
8,0.266934,9,3,269.629,243.274,34.1997,203.909,0.83
8,0.266934,10,2,707,234.714,659.763,190.055,0.793919
8,0.266934,11,3,661.5,234.976,593.784,190.764,0.852941
8,0.266934,13,4,743.935,220.196,718.06,171.984,0.665108
