frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,2,146.827,484.955,42.884,393.524,0.57037
0,0,2,4,445.2,477.2,304.055,392.312,0.730124
0,0,3,2,403.21,302.047,235.898,291.037,0.592287
0,0,4,1,751.5,267.5,667.81,265.331,1
0,0,5,3,445.25,228,273.179,226.194,0.768571
0,0,6,4,337.487,178.732,99.8464,169.739,0.650324
0,0,7,4,736.596,174.87,712.325,166.761,0.671451
0,0,8,3,382.5,158,157.767,142.397,0.716667
0,0,9,3,342.481,123.859,69.6052,90.1793,0.668553
0,0,10,4,917.4,474.6,730.433,394.617,0.706091
1,0.04,1,3,146.158,484.885,42.2702,393.489,0.682578
1,0.04,2,4,445.2,477.2,304.055,392.312,0.732195
1,0.04,3,2,403.171,302.253,235.901,291.194,0.600536
1,0.04,4,1,751.5,267.5,667.81,265.331,1
1,0.04,5,3,444.5,227.5,272.064,225.68,0.804167
1,0.04,6,4,337.81,179.19,100.615,170.318,0.651027
1,0.04,7,4,737,175,712.847,166.932,0.661437
1,0.04,8,3,383,158,158.561,142.399,0.732768
1,0.04,9,3,343,124.5,71.0066,91.2455,0.660494
1,0.04,10,4,917.4,474.6,730.433,394.617,0.706091
2,0.08,1,3,146.158,484.885,42.2702,393.489,0.68676
2,0.08,2,4,445.2,477.2,304.055,392.312,0.732195
2,0.08,3,2,403.171,302.253,235.901,291.194,0.600536
2,0.08,4,1,751.5,267.5,667.81,265.331,1
2,0.08,5,3,444.5,227.5,272.064,225.68,0.808333
2,0.08,6,4,337.81,179.19,100.615,170.318,0.65274
2,0.08,7,4,737,175,712.847,166.932,0.659971
2,0.08,8,3,382,157.5,156.718,141.695,0.734043
2,0.08,9,3,343.5,125.5,72.6498,92.9014,0.655696
2,0.08,10,4,917.4,474.6,730.433,394.617,0.70736
3,0.12,1,3,146.158,484.885,42.2702,393.489,0.683972
3,0.12,2,4,445.2,477.2,304.055,392.312,0.730124
3,0.12,3,2,403.171,302.253,235.901,291.194,0.603217
3,0.12,4,1,751.5,267.5,667.81,265.331,1
3,0.12,5,3,444.5,227.5,272.064,225.68,0.804167
3,0.12,6,4,337.81,179.19,100.615,170.318,0.651027
3,0.12,7,4,737,175,712.847,166.932,0.662903
3,0.12,8,3,382,157.5,156.718,141.695,0.729787
