frame,time_s,track_id,class,x,y,map_x,map_y,confidence
0,0,1,3,837.158,440.526,770.641,391.89,0.864835
0,0,2,3,214.833,439.444,32.3459,394.589,0.880769
0,0,3,3,421,396,262.822,355.777,0.827273
0,0,4,3,461.232,391.177,311.138,351.027,0.638916
0,0,5,2,549.223,346.198,419.852,307.191,0.758974
0,0,6,4,359,347.14,179.011,310.851,0.857692
0,0,7,4,698.5,304.66,623.492,261.356,0.665385
0,0,8,4,603.5,276.5,495.781,232.055,0.754819
0,0,9,3,624.5,257.5,527.267,209.474,0.804255
0,0,10,3,784.742,245.581,763.796,190.567,0.847032
0,0,11,4,370,234,168.856,188.484,0.745556
0,0,12,3,665.5,232.35,590.465,177.684,0.853125
0,0,13,3,334.5,185.5,105.724,128.704,0.857971
0,0,14,3,575.5,156.833,463.229,79.404,0.808696
0,0,15,3,617.857,152.714,530.377,71.4798,0.77
0,0,16,3,557.4,121.8,436.027,27.6545,0.78397
1,0.0333667,1,3,836.02,442.237,768.69,393.381,0.86648
1,0.0333667,2,3,215.5,440.5,33.412,395.45,0.887879
1,0.0333667,3,3,421,396,262.822,355.777,0.819662
1,0.0333667,4,3,460.5,391.077,310.236,350.944,0.621827
1,0.0333667,6,4,358.5,347.196,178.401,310.912,0.877206
1,0.0333667,5,2,549.135,345.958,419.742,306.954,0.755155
1,0.0333667,7,4,698,304.82,622.769,261.54,0.65687
1,0.0333667,8,4,604.026,276.809,496.487,232.394,0.735345
1,0.0333667,9,3,624.5,257.283,527.292,209.216,0.809497
1,0.0333667,10,3,785,245,764.39,189.84,0.838462
1,0.0333667,11,4,370,234,168.856,188.484,0.747778
1,0.0333667,12,3,666,232.175,591.235,177.45,0.8504
1,0.0333667,13,3,334.5,185.5,105.724,128.704,0.856522
1,0.0333667,14,3,576,156.5,464.031,78.8991,0.821429
1,0.0333667,15,3,617.641,152.636,530.045,71.3748,0.762642
1,0.0333667,17,2,584.5,123,479.96,28.1022,0.611111
1,0.0333667,16,3,556.2,121.8,434.085,27.7175,0.79697
2,0.0667334,1,3,836.02,442.237,768.69,393.381,0.864246
2,0.0667334,2,3,215.5,440.5,33.412,395.45,0.871717
2,0.0667334,3,3,421,396,262.822,355.777,0.81797
2,0.0667334,4,3,460.5,391.077,310.236,350.944,0.626904
2,0.0667334,6,4,358.5,347.196,178.401,310.912,0.877206
2,0.0667334,5,2,549,346,419.567,306.998,0.758442
2,0.0667334,7,4,698,304.82,622.769,261.54,0.65687
2,0.0667334,8,4,604.026,276.809,496.487,232.394,0.735345
2,0.0667334,9,3,624.5,257.283,527.292,209.216,0.809497
2,0.0667334,10,3,785,245,764.39,189.84,0.838462
2,0.0667334,12,3,666,232.175,591.235,177.45,0.8504
2,0.0667334,13,3,334.5,185.5,105.724,128.704,0.857971
2,0.0667334,14,3,575.857,156.714,463.795,79.2158,0.818571
2,0.0667334,15,3,617.641,152.636,530.045,71.3748,0.762642
2,0.0667334,17,2,584.5,123,479.96,28.1022,0.611111
2,0.0667334,11,4,369,231,166.767,184.903,0.730702
2,0.0667334,16,3,556.2,121.8,434.085,27.7175,0.79697
3,0.1001,1,3,836.02,442.237,768.69,393.381,0.864246
3,0.1001,2,3,215.5,440.5,33.412,395.45,0.871717
3,0.1001,3,3,421,396,262.822,355.777,0.81797
3,0.1001,4,3,460.5,391.077,310.236,350.944,0.626904
3,0.1001,6,4,358.5,347.196,178.401,310.912,0.877206
3,0.1001,5,2,549,346,419.567,306.998,0.758442
3,0.1001,7,4,698,304.68,622.797,261.388,0.66125
3,0.1001,8,4,604.026,276.809,496.487,232.394,0.735345
3,0.1001,9,3,624.5,257.283,527.292,209.216,0.807263
3,0.1001,10,3,785,245,764.39,189.84,0.827602
3,0.1001,12,3,666,232.175,591.235,177.45,0.8504
3,0.1001,13,3,334.5,185.5,105.724,128.704,0.857971
3,0.1001,14,3,575.857,156.714,463.795,79.2158,0.818571
3,0.1001,15,3,617.641,152.636,530.045,71.3748,0.76566
3,0.1001,17,2,584.5,123,479.96,28.1022,0.611111
3,0.1001,11,4,369,231,166.767,184.903,0.730702
3,0.1001,16,3,556.2,121.8,434.085,27.7175,0.79697
4,0.133467,1,3,836.02,442.237,768.69,393.381,0.86648
4,0.133467,2,3,215.5,440.5,33.412,395.45,0.871717
4,0.133467,3,3,421,396,262.822,355.777,0.81797
4,0.133467,4,3,460.5,391.077,310.236,350.944,0.626904
4,0.133467,6,4,358.5,347.196,178.401,310.912,0.877206
4,0.133467,5,2,549,346,419.567,306.998,0.758442
4,0.133467,7,4,698,304.68,622.797,261.388,0.66125
4,0.133467,8,4,604.026,276.809,496.487,232.394,0.735345
4,0.133467,9,3,624.5,257.283,527.292,209.216,0.807263
4,0.133467,10,3,785,245,764.39,189.84,0.831222
